Indeks,Komentar,Komentar_bersih,normal_teks,Label,Label_Validator
H-1194,Awan Hitam Besar Muncul Sebelum Kecelakaan Kereta di Ohio Tahun 2023,awan hitam besar muncul sebelum kecelakaan kereta di ohio tahun 2023,awan hitam besar muncul sebelum kecelakaan kereta di ohio tahun 2023,2,2
H-1195,Pesan WhatsApp Giveaway dari TRANS7,pesan whatsapp giveaway dari trans7,pesan WhatsApp giveaway dari trans7,2,2
H-1196,Gunung Semeru Terbelah Menjadi Dua,gunung semeru terbelah menjadi dua,gunung semeru terbelah menjadi dua,2,2
H-1197,Upacara Penyambutan Kembali Bharada E ke Brimob,upacara penyambutan kembali bharada e ke brimob,upacara penyambutan kembali bharada e ke brimob,2,2
H-1198,Ferdy Sambo Babak Belur Saat Kabur dari Sidang Kode Etik Bharada Eliezer,ferdy sambo babak belur saat kabur dari sidang kode etik bharada eliezer,ferdy sambo babak belur saat kabur dari sidang kode etik bharada eliezer,2,2
H-1199,Seorang Sultan Angkat Nono Menjadi Anak,seorang sultan angkat nono menjadi anak,seorang sultan angkat nono menjadi anak,2,2
H-1200,SYOK! Putri Langsung Pingsan Usai Majelis Hakim Jatuhkan Vonis Hukuman 20 Tahun Penjara,syok putri langsung pingsan usai majelis hakim jatuhkan vonis hukuman 20 tahun penjara,syok putri langsung pingsan usai majelis hakim jatuhkan vonis hukuman 20 tahun penjara,2,2
H-1201,Ahmad Dani Meninggal Dunia,ahmad dani meninggal dunia,ahmad dani meninggal dunia,2,2
H-1202,"AKHIRNYA SBY AKUI KORUPSINYA, KPK DI MINTA JANGAN SERET IBAS ATAS DOSA-DOSANYA",akhirnya sby akui korupsinya kpk di minta jangan seret ibas atas dosadosanya,akhirnya Surabaya akui korupsinya kpk di minta jangan seret ibas atas dosadosanya,2,2
H-1203,JOKO WIDODO TUNJUK MAHFUD MD JADI KETUA KPK,joko widodo tunjuk mahfud md jadi ketua kpk,joko Widodo tunjuk mahfud md jadi ketua kpk,2,2
H-1204,BARADHA E LANGSUNG NAIK PANGKAT DAN DIBERI HADIAH OLEH KAPOLRI LISTYO SIGIT,baradha e langsung naik pangkat dan diberi hadiah oleh kapolri listyo sigit,baradha e langsung naik pangkat dan diberi hadiah oleh kapolri listyo sigit,2,2
H-1205,Jepang Mengirimkan Tumpukan Kertas Origami Bangau ke Turki Setelah Gempa Bumi,jepang mengirimkan tumpukan kertas origami bangau ke turki setelah gempa bumi,jepang mengirimkan tumpukan kertas origami bangau ke turki setelah gempa bumi,2,2
H-1206,"Anies Baswedan Tersangka Kasus Korupsi Formula E dan Bansos, Heru Budi Serahkan Bukti Akurat Korupsi ke KPK",anies baswedan tersangka kasus korupsi formula e dan bansos heru budi serahkan bukti akurat korupsi ke kpk,anies Baswedan tersangka kasus korupsi formula e dan bansos heru budi serahkan bukti akurat korupsi ke kpk,2,2
H-1207,Video Patahan Kerak Bumi Setelah Gempa Turki,video patahan kerak bumi setelah gempa turki,video patahan kerak bumi setelah gempa turki,2,2
H-1208,Video Amatir Rekam Detik – Detik Gedung di Turki Ambruk akibat Gempa,video amatir rekam detik detik gedung di turki ambruk akibat gempa,video amatir rekam detik detik gedung di turki ambruk akibat gempa,2,2
H-1209,Ferdy Sambo Nekat Akhiri Hidup dengan Gantung Diri,ferdy sambo nekat akhiri hidup dengan gantung diri,ferdy sambo nekat akhiri hidup dengan gantung diri,2,2
H-1210,Akun WhatsApp Rekan Kerja Dari Wakil Gubernur Jawa Tengah Taj Yasin Maimoen,akun whatsapp rekan kerja dari wakil gubernur jawa tengah taj yasin maimoen,akun WhatsApp rekan kerja dari wakil gubernur jawa tengah taj yasin maimoen,2,2
H-1211,Pesan Whatsapp Pengembalian Barang Retur dan File Foto Apk yang Mengatasnamakan JNE,pesan whatsapp pengembalian barang retur dan file foto apk yang mengatasnamakan jne,pesan WhatsApp pengembalian barang retur dan file foto apk yang mengatasnamakan jne,2,2
H-1212,Semua Harta Kekayaan Ferdy Sambo Disita Aparat,semua harta kekayaan ferdy sambo disita aparat,semua harta kekayaan ferdy sambo disita aparat,2,2
H-1213,Hakim Tolak Ajukan Banding FS dan PC,hakim tolak ajukan banding fs dan pc,hakim tolak ajukan banding fs dan pc,2,2
H-1214,"LELAH DIFITN4H, NEKAT.! BUNDA CORLA PERLIHATKAN BADAN & KEL4MIN DIRINYA PEREMPUAN",lelah difitn4h nekat bunda corla perlihatkan badan kel4min dirinya perempuan,lelah difitn4h nekat bunda corla perlihatkan badan kel4min dirinya perempuan,2,2
H-1215,"IGUN LANGSUNG TERBANG KE JERMAN JENGUK BUNDA CORLA, DUKUN JERMAN SEBUT SAKIT BUNDA CORLA TAK BIASA.!",igun langsung terbang ke jerman jenguk bunda corla dukun jerman sebut sakit bunda corla tak biasa,igun langsung terbang ke jerman jenguk bunda corla dukun jerman sebut sakit bunda corla tak biasa,2,2
H-1216,DRIVER OJOL MENINGGAL AKIBAT VAKSIN COVID-19,driver ojol meninggal akibat vaksin covid19,pengemudi ojol meninggal akibat vaksin covid19,2,2
H-1217,ANJING ASAL INDONESIA IKUT SELAMATKAN KORBAN GEMPA TURKI,anjing asal indonesia ikut selamatkan korban gempa turki,anjing asal indonesia ikut selamatkan korban gempa turki,2,2
H-1218,KELOMPOK ANTI LGBTQ DILARANG BELI STARBUCKS,kelompok anti lgbtq dilarang beli starbucks,kelompok anti lgbtq dilarang beli starbucks,2,2
H-1219,Nono Meninggal Dunia,nono meninggal dunia,nono meninggal dunia,2,2
H-1220,Amanda Manopo Mengalami Kecelakaan,amanda manopo mengalami kecelakaan,amanda manapun mengalami kecelakaan,2,2
H-1221,Prabowo Subianto Meninggal Dunia Karena Tenggelam,prabowo subianto meninggal dunia karena tenggelam,Prabowo subianto meninggal dunia karena tenggelam,2,2
H-1222,ANANG NEKAT CERAIKAN AHSYANTY DEMI MEMBELA KD,anang nekat ceraikan ahsyanty demi membela kd,anang nekat ceraikan ahsyanty demi membela kd,2,2
H-1223,Golkar Resmi Gabung Koalisi Anies sejak Januari 2023,golkar resmi gabung koalisi anies sejak januari 2023,golkar resmi gabung koalisi anies sejak januari 2023,2,2
H-1224,Pinjaman Online Kospin Jasa Melalui Pesan Whatsapp,pinjaman online kospin jasa melalui pesan whatsapp,pinjaman online kospin jasa melalui pesan WhatsApp,2,2
H-1225,Indochina pada Truk Southern Hauliers Merupakan Sebutan untuk Indonesia dan China,indochina pada truk southern hauliers merupakan sebutan untuk indonesia dan china,indochina pada truk southern hauliers merupakan sebutan untuk indonesia dan china,2,2
H-1226,Pesan Whatsapp Mengatasnamakan Beacukai,pesan whatsapp mengatasnamakan beacukai,pesan WhatsApp mengatasnamakan beacukai,2,2
H-1227,Video Anak-Anak di Afrika Meninggal Akibat Suntik Vaksin Covid-19,video anakanak di afrika meninggal akibat suntik vaksin covid19,video anakanak di afrika meninggal akibat suntik vaksin covid19,2,2
H-1228,Video Sambo Dan Istri Dieksekusi Di Lembah Kematian Nusakambangan,video sambo dan istri dieksekusi di lembah kematian nusakambangan,video sambo dan istri dieksekusi di lembah kematian nusakambangan,2,2
H-1229,Demonstran Bergerak Menuju Rumah Megawati,demonstran bergerak menuju rumah megawati,demonstran bergerak menuju rumah megawati,2,2
H-1230,VIDEO TANGGUL BRANTAS DI WILAYAH DRIYOREJO GRESIK JEBOL,video tanggul brantas di wilayah driyorejo gresik jebol,video tanggul brantas di wilayah driyorejo gresik jebol,2,2
H-1231,JALANKAN PERINTAH JOKOWI!!JUTAAN DEMONSTRAN NGAMUK MINTA UNI EROPA DI BUBARKAN GARA² INI,jalankan perintah jokowijutaan demonstran ngamuk minta uni eropa di bubarkan gara2 ini,jalankan perintah jokowijutaan demonstran marah minta uni eropa di bubarkan gara-gara ini,2,2
H-1232,NYAWA TERANCAM !! PASUKAN ELIT TNI MULAI BERGERAK BIIKIN XII JINPING JADI BEGINI,nyawa terancam pasukan elit tni mulai bergerak biikin xii jinping jadi begini,nyawa terancam pasukan elit tni mulai bergerak biikin xii jinping jadi begini,2,2
H-1233,"RESMI MENIKAH DENGAN RULLY PILOT, DEWI PERSIK KAGET SAAT PARA MANTAN SUAMI HADIRI PESTA PERNIKAHAN",resmi menikah dengan rully pilot dewi persik kaget saat para mantan suami hadiri pesta pernikahan,resmi menikah dengan rully pilot dewi persik kaget saat para mantan suami hadiri pesta pernikahan,2,2
H-1234,"HABIS SABAR.! IGUN PANGGIL NIKITA MALAM INI, TUNJUKKAN BUKTI TRANSFER DAN PASSPORT BUNDA CORLA DEBAT.",habis sabar igun panggil nikita malam ini tunjukkan bukti transfer dan passport bunda corla debat,habis sabar igun panggil nikita malam ini tunjukkan bukti transfer dan paspor bunda corla debat,2,2
H-1235,AKHIRNYA.! RAFFI AHMAD DATANGI HOTMAN PARIS SORE INI GIDEON TENGKER TAK DPT HARTA KRN INI MAMA RIETA,akhirnya raffi ahmad datangi hotman paris sore ini gideon tengker tak dpt harta krn ini mama rieta,akhirnya raffy ahmad datangi hotman paris sore ini gideon tengker tak dpt harta krn ini mama rieta,2,2
H-1236,Gempa Magnitude 10.4 Hancurkan Maluku,gempa magnitude 104 hancurkan maluku,gempa magnitude 104 hancurkan maluku,2,2
H-1237,SALAH LAWAN.! DEPE PERMALUKAN FARHAT – KETAKUTAN FARHAT MINTA MAAF KE BUNDA CORLA – LAPOR BALIK.,salah lawan depe permalukan farhat ketakutan farhat minta maaf ke bunda corla lapor balik,salah lawan depe permalukan farhat ketakutan farhat minta maaf ke bunda corla lapor balik,2,2
H-1238,Gisella Anastasia dan Gading Marteen Resmi Rujuk,gisella anastasia dan gading marteen resmi rujuk,gisella anastasia dan gading marteen resmi rujuk,2,2
H-1239,"DENSU KAGET.! SORE INI ZANZABELLA TUNJUKKAN 3 BUKTI JAHAT NIKITA MIRZANI, BUNDA CORLA DENNY SUMARGO.",densu kaget sore ini zanzabella tunjukkan 3 bukti jahat nikita mirzani bunda corla denny sumargo,densu kaget sore ini zanzabella tunjukkan 3 bukti jahat nikita mirzani bunda corla denny sumargo,2,2
H-1240,Tessa Kaunang Ungkap Kekasih Dewi Persik Telantarkan Anak,tessa kaunang ungkap kekasih dewi persik telantarkan anak,tessa kaunang ungkap kekasih dewi persik telantarkan anak,2,2
H-1241,1387 Warga Indonesia Tewas Akibat Guncangan Gempa di 4 Wilayah,1387 warga indonesia tewas akibat guncangan gempa di 4 wilayah,1387 warga indonesia tewas akibat guncangan gempa di 4 wilayah,2,2
H-1242,"IGUN DAN RUBEN JENGUK BUNDA CORLA KE JERMAN, ALHAMDULILLAH BUNDA CORLA SUDAH SEMBUH.!!!",igun dan ruben jenguk bunda corla ke jerman alhamdulillah bunda corla sudah sembuh,igun dan ruben jenguk bunda corla ke jerman alhamdulillah bunda corla sudah sembuh,2,2
H-1243,IBU RIHANAH MASIH BERBOHONG.! NORMA RISMA TERPAKSA TUNJUKKAN VIDEO 5YUR IBU DAN MANTAN SUAMINYA.,ibu rihanah masih berbohong norma risma terpaksa tunjukkan video 5yur ibu dan mantan suaminya,ibu rihanah masih berbohong norma risma terpaksa tunjukkan video 5yur ibu dan mantan suaminya,2,2
H-1244,Gelombang Dahsyat Menghancurkan Laut Selatan Jabar-DIJ,gelombang dahsyat menghancurkan laut selatan jabardij,gelombang dahsyat menghancurkan laut selatan jabardij,2,2
H-1245,NIKMIR AUTO PUCAT.! SUAMI BUNDA CORLA ASAL PRANCIS TIBA DI INDONESIA BALIKIN 100JT NIKITA MIRZANI.,nikmir auto pucat suami bunda corla asal prancis tiba di indonesia balikin 100jt nikita mirzani,nikmat auto pucat suami bunda corla asal prancis tiba di indonesia kembalikan 100 juta nikita mirzani,2,2
H-1246,Muzdalifah Mantan Istri Nazar Meninggal Saat Menunaikan Ibadah Haji,muzdalifah mantan istri nazar meninggal saat menunaikan ibadah haji,muzdalifah mantan istri nazar meninggal saat menunaikan ibadah haji,2,2
H-1247,PKI Anggarkan 5 Triliun untuk Jokowi 3 Periode,pki anggarkan 5 triliun untuk jokowi 3 periode,pki anggarkan 5 triliun untuk Jokowi 3 periode,2,2
H-1248,Raul Lemos Ungkap Krisdayanti Berselingkuh,raul lemos ungkap krisdayanti berselingkuh,raul lemos ungkap krisdayanti berselingkuh,2,2
H-1249,"VIDEO “SRI MULYANI MERADANG, UANG FIRLI DIRAMPAS!!”",video sri mulyani meradang uang firli dirampas,video sri mulyani meradang uang firli dirampas,2,2
H-1250,Tentara Bayaran Australia Ditangkap TNI,tentara bayaran australia ditangkap tni,tentara bayaran australia ditangkap tni,2,2
H-1251,Jokowi Perintahkan Tembak Sambo Yang Hendak Melarikan Diri,jokowi perintahkan tembak sambo yang hendak melarikan diri,Jokowi perintahkan tembak sambo yang hendak melarikan diri,2,2
H-1252,Video Bharada E Dipindah ke Nusakambangan,video bharada e dipindah ke nusakambangan,video bharada e dipindahkan ke nusakambangan,2,2
H-1253,Ajinomoto Bisa Memutihkan Wajah,ajinomoto bisa memutihkan wajah,ajinomoto bisa memutihkan wajah,2,2
H-1254,Lesti Kejora Meninggal Februari 2023,lesti kejora meninggal februari 2023,lesti kejora meninggal februari 2023,2,2
H-1255,10 Kota di Indonesia Hancur Total Akibat Gempa Bumi,10 kota di indonesia hancur total akibat gempa bumi,10 kota di indonesia hancur total akibat gempa bumi,2,2
H-1256,Gempa Bumi Mengguncang Banten Ratusan Orang Tewas,gempa bumi mengguncang banten ratusan orang tewas,gempa bumi mengguncang banten ratusan orang tewas,2,2
H-1257,Suteng Asisten Anang Hermansyah Menerima Uang Sogokan Dari KD,suteng asisten anang hermansyah menerima uang sogokan dari kd,suteng asisten anang hermansyah menerima uang sogokan dari kd,2,2
H-1258,Indonesia Ambil Alih Wilayah China,indonesia ambil alih wilayah china,indonesia ambil alih wilayah china,2,2
H-1259,Gambar Tangkapan Layar Artikel “Menteri yaqut pikir-pikir dulu soal sholat Jumat pindah di hari Sabtu”,gambar tangkapan layar artikel menteri yaqut pikirpikir dulu soal sholat jumat pindah di hari sabtu,gambar tangkapan layar artikel menteri yaqut pikirpikir dulu soal sholat jumat pindah di hari sabtu,2,2
H-1260,Dewi Persik Tampar Farhat Abbas,dewi persik tampar farhat abbas,dewi persik tampar farhat abbas,2,2
H-1261,Tanaman Berbuah Telur Ayam,tanaman berbuah telur ayam,tanaman berbuah telur ayam,2,2
H-1262,BCL Meninggal Tadi Pagi Pukul 04:52 WIB,bcl meninggal tadi pagi pukul 0452 wib,bcl meninggal tadi pagi pukul 0452 wib,2,2
H-1263,Jokowi Tunjuk Langsung Mahfud MD Sebagai Ketua KPK,jokowi tunjuk langsung mahfud md sebagai ketua kpk,Jokowi tunjuk langsung mahfud md sebagai ketua kpk,2,2
H-1264,Gambar Konsep Sabuk Pengaman Mobil Era 1960-an,gambar konsep sabuk pengaman mobil era 1960an,gambar konsep sabuk pengaman mobil era 1960an,2,2
H-1265,Pesan WhatsApp Direktorat Jenderal Pajak,pesan whatsapp direktorat jenderal pajak,pesan WhatsApp direktorat jenderal pajak,2,2
H-1266,Masjid-masjid mewah dan megah di Pakistan dirusak massa untuk dijual batanya serta besinya untuk kebutuhan makan umatnya,masjidmasjid mewah dan megah di pakistan dirusak massa untuk dijual batanya serta besinya untuk kebutuhan makan umatnya,masjidmasjid mewah dan megah di pakistan dirusak massa untuk dijual bata serta besi untuk kebutuhan makan umatnya,2,2
H-1267,Ibu Bharada E Menemui Presiden Jokowi,ibu bharada e menemui presiden jokowi,ibu bharada e menemui presiden Jokowi,2,2
H-1268,Sandiaga Uno Bongkar Sifat Buruk Anies,sandiaga uno bongkar sifat buruk anies,sandiaga uno bongkar sifat buruk anies,2,2
H-1269,Gambar Mahasiswa Indonesia Terima Penghargaan Nobel Kedokteran Atas Penemuan Obat Diabetes,gambar mahasiswa indonesia terima penghargaan nobel kedokteran atas penemuan obat diabetes,gambar mahasiswa indonesia terima penghargaan nobel kedokteran atas penemuan obat diabetes,2,2
H-1270,Flyer Penerimaan CPNS Kementerian Pertahanan 2023,flyer penerimaan cpns kementerian pertahanan 2023,flyer penerimaan cpns kementerian pertahanan 2023,2,2
H-1271,Video Rekaman CCTV Gempa 7.5 SR Turki (6 Februari 2023) di Salah Satu Hotel Ternama Turki,video rekaman cctv gempa 75 sr turki 6 februari 2023 di salah satu hotel ternama turki,video rekaman cctv gempa 75 sr turki 6 februari 2023 di salah satu hotel ternama turki,2,2
H-1272,VIDEO “IBU BRIGADIR J AKAN EKSEKUSI SENDIRI FERDY SAMBO”,video ibu brigadir j akan eksekusi sendiri ferdy sambo,video ibu brigadir j akan eksekusi sendiri ferdy sambo,2,2
H-1273,"Belum Sampai Dua Bulan Menikah, Kaesang dan Erina Tempuh Meja Hijau",belum sampai dua bulan menikah kaesang dan erina tempuh meja hijau,belum sampai dua bulan menikah kaesang dan erina tempuh meja hijau,2,2
H-1274,Suramadu Macet Total Sambut Anies Baswedan,suramadu macet total sambut anies baswedan,suramadu macet total sambut anies Baswedan,2,2
H-1275,Retakan Semangka Akibat Kandungan Bahan Kimia,retakan semangka akibat kandungan bahan kimia,retakan semangka akibat kandungan bahan kimia,2,2
H-1276,SURYA PALOH DICULIK PENDUKUNG ANIES,surya paloh diculik pendukung anies,surya paloh diculik pendukung anies,2,2
H-1277,Video Jokowi Pecat Hakim yang Terbukti Terima Suap dari Sambo,video jokowi pecat hakim yang terbukti terima suap dari sambo,video Jokowi pecat hakim yang terbukti terima suap dari sambo,2,2
H-1278,Megawati Resmi Tunjuk Ganjar Maju Capres 2024,megawati resmi tunjuk ganjar maju capres 2024,megawati resmi tunjuk ganjar maju capres 2024,2,2
H-1279,Imam di Turki mencium tangan anjing yang menyelamatkan 3 orang yang tersangkut di puing-puing,imam di turki mencium tangan anjing yang menyelamatkan 3 orang yang tersangkut di puingpuing,imam di turki mencium tangan anjing yang menyelamatkan 3 orang yang tersangkut di puingpuing,2,2
H-1280,Putri Sulung Sambo Akhiri Hidup Usai Sambo Dihukum Mati,putri sulung sambo akhiri hidup usai sambo dihukum mati,putri sulung sambo akhiri hidup usai sambo dihukum mati,2,2
H-1281,Rudal Rusia Hancurkan Apartemen di New York,rudal rusia hancurkan apartemen di new york,rudal rusia hancurkan apartemen di baru york,2,2
H-1282,Perang Dunia III Pecah jika China-Iran Terlibat Konflik Indonesia-Australia,perang dunia iii pecah jika chinairan terlibat konflik indonesiaaustralia,perang dunia iii pecah jika chinairan terlibat konflik indonesiaaustralia,2,2
H-1283,Penampakan Kota Ghaib Saranjana Melalui Teropong,penampakan kota ghaib saranjana melalui teropong,penampakan kota ghaib saranjana melalui teropong,2,2
H-1284,Desy Ratnasari Meninggal Dunia,desy ratnasari meninggal dunia,desy ratnasari meninggal dunia,2,2
H-1285,Rusia dan Korea Utara Membela Indonesia,rusia dan korea utara membela indonesia,rusia dan korea utara membela indonesia,2,2
H-1286,Puan Maharani siap maju jadi Capres 2024 karena dipaksa rakyat sampai tidak bisa tidur,puan maharani siap maju jadi capres 2024 karena dipaksa rakyat sampai tidak bisa tidur,puan maharani siap maju jadi capres 2024 karena dipaksa rakyat sampai tidak bisa tidur,2,2
H-1287,Hakim Wahyu dicopot oleh Jokowi,hakim wahyu dicopot oleh jokowi,hakim wahyu dicopot oleh Jokowi,2,2
H-1288,Rumah Anies Baswedan digeruduk oleh pendukung Sandiaga Uno,rumah anies baswedan digeruduk oleh pendukung sandiaga uno,rumah anies Baswedan digeruduk oleh pendukung sandiaga uno,2,2
H-1289,Nagita Angkat Suara Terkait Harta Gono Gini Mama Rita,nagita angkat suara terkait harta gono gini mama rita,nagita angkat suara terkait harta gono gini mama rita,2,2
H-1290,Pesan WhatsApp Menawarkan Bantuan Oleh Dinas Sosial Kabupaten Pacitan,pesan whatsapp menawarkan bantuan oleh dinas sosial kabupaten pacitan,pesan WhatsApp menawarkan bantuan oleh dinas sosial kabupaten pacitan,2,2
H-1291,Video Akibat Gempa Turki Seorang Penduduk Melompat Keluar,video akibat gempa turki seorang penduduk melompat keluar,video akibat gempa turki seorang penduduk melompat keluar,2,2
H-1292,Anies Tanda Tangani “Pakta Integritas” kepada HTI dan FPI,anies tanda tangani pakta integritas kepada hti dan fpi,anies tanda tangani pakta integritas kepada hti dan fpi,2,2
H-1293,Foto Kemasan Baru Oreo x EXO,foto kemasan baru oreo x exo,foto kemasan baru oreo x exo,2,2
H-1294,Sambo Sujud Minta Ampun Datangi Istana Mohon Tidak Dihukum Mati,sambo sujud minta ampun datangi istana mohon tidak dihukum mati,sambo sujud minta ampun datangi istana mohon tidak dihukum mati,2,2
H-1295,Video Persiapan Juru Tembak Untuk Eksekusi Ferdy Sambo CS,video persiapan juru tembak untuk eksekusi ferdy sambo cs,video persiapan juru tembak untuk eksekusi ferdy sambo customer service,2,2
H-1296,Video Najwa Shihab Tampar Mulut Farhat Abbas dan Nikita Mirzani,video najwa shihab tampar mulut farhat abbas dan nikita mirzani,video najwa shihab tampar mulut farhat abbas dan nikita mirzani,2,2
H-1297,Tangkapan Layar Artikel Bergambar Animasi Berwajah Jokowi,tangkapan layar artikel bergambar animasi berwajah jokowi,tangkapan layar artikel bergambar animasi berwajah Jokowi,2,2
H-1298,Ribuan Pasukan TNI Menerobos Pertahanan Malaysia,ribuan pasukan tni menerobos pertahanan malaysia,ribuan pasukan tni menerobos pertahanan malaysia,2,2
H-1299,KIKY SAPUTRI ADAKAN GIVEAWAY MELALUI TIKTOK,kiky saputri adakan giveaway melalui tiktok,kiky saputri adakan giveaway melalui tiktok,2,2
H-1300,AKUN WHATSAPP KASI INTEL KEJARI BANJAR I MADE DEADY PERMANA,akun whatsapp kasi intel kejari banjar i made deady permana,akun WhatsApp kasi intel kejari banjar i made deady permana,2,2
H-1301,"AKUN WHATSAPP SEKDA KABUPATEN BOGOR TAWARKAN DONASI DANA BANTUAN PEMBANGUNAN, REHABILITASI DAN OPERASIONAL MASJID",akun whatsapp sekda kabupaten bogor tawarkan donasi dana bantuan pembangunan rehabilitasi dan operasional masjid,akun WhatsApp sekda kabupaten bogor tawarkan donasi dana bantuan pembangunan rehabilitasi dan operasional masjid,2,2
H-1302,NATO Kirim Senjata ke Australia,nato kirim senjata ke australia,nato kirim senjata ke australia,2,2
H-1303,Perang Indonesia Ku VS australia semakin tak terbendung!,perang indonesia ku vs australia semakin tak terbendung,perang indonesia ku melawan australia semakin tak terbendung,2,2
H-1304,Australia Isyaratkan Damai dengan Indonesia,australia isyaratkan damai dengan indonesia,australia isyaratkan damai dengan indonesia,2,2
H-1305,penculikan anak untuk dijual dan diambil jantungnya,penculikan anak untuk dijual dan diambil jantungnya,penculikan anak untuk dijual dan diambil jantungnya,2,2
H-1306,Daun Ciplukan Sembuhkan Lumpuh dan Stroke,daun ciplukan sembuhkan lumpuh dan stroke,daun ciplukan sembuhkan lumpuh dan stroke,2,2
H-1307,Gisel Hamil Anak Kedua dengan Gading Marten,gisel hamil anak kedua dengan gading marten,gisel hamil anak kedua dengan gading marten,2,2
H-1308,Detik detik Adian Napitulu Permalukan SBY Saat Live TV Nasional,detik detik adian napitulu permalukan sby saat live tv nasional,detik detik adian napitulu permalukan Surabaya saat langsung tv nasional,2,2
H-1309,Tantri KOTAK Meninggal Dunia,tantri kotak meninggal dunia,tantri kotak meninggal dunia,2,2
H-1310,MOBIL GIBRAN DIHANCURKAN USAI POSTING FOTO ANIES PAKAI BAJU KPK,mobil gibran dihancurkan usai posting foto anies pakai baju kpk,mobil gibran dihancurkan usai posting foto anies pakai baju kpk,2,2
H-1311,CRISTIANO RONALDO RESMI MENIKAH DENGAN ISTRINYA DI ARAB,cristiano ronaldo resmi menikah dengan istrinya di arab,Cristiano Ronaldo resmi menikah dengan istrinya di arab,2,2
H-1312,pesawat tempur Su-35 melakukan beberapa keajaiban luar biasa,pesawat tempur su35 melakukan beberapa keajaiban luar biasa,pesawat tempur su35 melakukan beberapa keajaiban luar biasa,2,2
H-1313,Musisi Virgoun Telah Berpulang,musisi virgoun telah berpulang,musisi virgoun telah berpulang,2,2
H-1314,Video Pertemuan Rahasia Anies Baswedan Dengan Pengusaha di Eropa,video pertemuan rahasia anies baswedan dengan pengusaha di eropa,video pertemuan rahasia anies Baswedan dengan pengusaha di eropa,2,2
H-1315,Meninggal karena Makan Mi dan Cokelat secara Bersamaan,meninggal karena makan mi dan cokelat secara bersamaan,meninggal karena makan mi dan cokelat secara bersamaan,2,2
H-1316,Anggota DPRD Jambi Berbuat Asusila di Mobil Sebelum Alami Kecelakaan,anggota dprd jambi berbuat asusila di mobil sebelum alami kecelakaan,anggota dprd jambi berbuat asusila di mobil sebelum alami kecelakaan,2,2
H-1317,Ahok Berhasil Dibekuk dan Dijebloskan,ahok berhasil dibekuk dan dijebloskan,ahok berhasil dibekuk dan dijebloskan,2,2
H-1318,Surat Penunjukan Penyedia Barang/Jasa (SPPBJ) Oleh Direktorat Jenderal Minyak dan Gas Bumi,surat penunjukan penyedia barangjasa sppbj oleh direktorat jenderal minyak dan gas bumi,surat penunjukan penyedia barangjasa sppbj oleh direktorat jenderal minyak dan gas bumi,2,2
H-1319,Akun Sekda Kabupaten Karanganyar Timotius Suryadi,akun sekda kabupaten karanganyar timotius suryadi,akun sekda kabupaten karanganyar timotius suryadi,2,2
H-1320,Akun WhatsApp Sekda Temanggung Hary Agung Prabowo,akun whatsapp sekda temanggung hary agung prabowo,akun WhatsApp sekda temanggung hary agung Prabowo,2,2
H-1321,Ulama ini tidak beranjak dari tempat duduknya saat gempa di Turki,ulama ini tidak beranjak dari tempat duduknya saat gempa di turki,ulama ini tidak beranjak dari tempat duduknya saat gempa di turki,2,2
H-1322,FIRLI BAHURI TERJERAT OTT KPK,firli bahuri terjerat ott kpk,firli bahuri terjerat ott kpk,2,2
H-1323,"PUNYA HUTANG 50 MILIAR, SANDIAGA UNO GUGAT ANIES BASWEDAN",punya hutang 50 miliar sandiaga uno gugat anies baswedan,punya hutang 50 miliar sandiaga uno gugat anies Baswedan,2,2
H-1324,GEMPA DENGAN KEKUATAN 12.7 SR MENGGUNCANG JAKARTA,gempa dengan kekuatan 127 sr mengguncang jakarta,gempa dengan kekuatan 127 sr mengguncang jakarta,2,2
H-1325,Vaksin booster yg ke 2 harus bayar 100 Ribu,vaksin booster yg ke 2 harus bayar 100 ribu,vaksin booster yang ke dua harus bayar 100 ribu,2,2
H-1326,Gus Azmi Raja Tawuran,gus azmi raja tawuran,gus azmi raja tawuran,2,2
H-1327,"TIDAK DISOROT MEDIA , DUA ARMADA TEMPUR INDONESIA BERAKHIR TRAGIS DI NATUNA UTARA",tidak disorot media dua armada tempur indonesia berakhir tragis di natuna utara,tidak disorot media dua armada tempur indonesia berakhir tragis di natuna utara,2,2
H-1328,NGERI !! CHINA BERHASIL OBRAK-ABRIK MILITER INDONESIA,ngeri china berhasil obrakabrik militer indonesia,ngeri china berhasil obrakabrik militer indonesia,2,2
H-1329,Video “Jokowi Ungkap bahwa negara Uni eropa dan barat Mencoba Melemahkan indonesia”,video jokowi ungkap bahwa negara uni eropa dan barat mencoba melemahkan indonesia,video Jokowi ungkap bahwa negara uni eropa dan barat mencoba melemahkan indonesia,2,2
H-1330,Bandara King Hamad di Doha Qatar Memiliki Luas 776 Kilometer Persegi dan Lebih Besar Daripada Kota Mumbai di India,bandara king hamad di doha qatar memiliki luas 776 kilometer persegi dan lebih besar daripada kota mumbai di india,bandara raja hamad di doha qatar memiliki luas 776 kilometer persegi dan lebih besar daripada kota mumbai di india,2,2
H-1331,PT Pos Indonesia Bagikan Subsidi Pemerintah Senilai Rp 2 Juta,pt pos indonesia bagikan subsidi pemerintah senilai rp 2 juta,pt pos indonesia bagikan subsidi pemerintah senilai rp dua juta,2,2
